"Timestamp","Berapa usia anda sekarang?","Apakah anda masih memiliki ketertarikan di bidang game?","Apakah menurut anda gaming gear penting dalam bermain game (Keyboard, Headset, Mouse, dll)","Menurut anda seberapa penting gaming gear dalam bermain game?","Seberapa sering Anda berbelanja online untuk gaming gear?  ","Apakah anda pernah mengalami kesulitan saat mencari gaming gear sesuai kebutuhan anda","Menurut anda jika iya, apa alasan anda kesulitan dalam mencari gaming gear?","Apakah anda memilih berbelanja gaming gear secara online atau offline (tatap muka)","Platform gaming yang paling sering digunakan?","Jenis gaming gear yang paling sering anda beli?","Apa yang menjadi nilai utama dalam mencari gaming gear?","Jika ada aplikasi serupa yang menawarkan solusi permasalahan diatas, apakah anda ingin menggunakannya?","Apa fitur yang anda harapkan dari aplikasi ini?","Apakah Anda bersedia berpartisipasi dalam komunitas online (forum, grup diskusi)?  ","Platform mana yang lebih nyaman untuk anda gunakan?","Seberapa penting fitur review bagi anda dalam mengambil keputusan pembelian?","Apakah ada saran atau masukan bagi aplikasi kami?"
"2024/09/19 11:33:26 PM GMT+7","11-20","Ya","Ya","4","Jarang","Tidak","","Online","Personal Computer (PC);Laptop;Console (Xbox, Playstation, Nintendo Switch);Mobile (Handphone)","Mouse;Controller","Kualitas;Harga","Ya","Forum;Live Chat","Ya","Web Based","6","Keep up the good work."
"2024/09/19 11:33:27 PM GMT+7","11-20","Ya","Ya","5","Kadang-kadang","Ya","Harga;Kualitas;Keaslian Produk","Online","Personal Computer (PC)","Keyboard;Mouse;Accessories (Mouse Pad, Cover Keyboard)","Kualitas;Harga","Ya","Rekomendasi berbasis AI;Live Chat","Ya","Mobile Apps","6",""
"2024/09/19 11:42:13 PM GMT+7","21-30","Ya","Ya","6","Kadang-kadang","Ya","Harga;Kualitas;Stock;Keaslian Produk;Contoh Produk","Offline","Laptop;Mobile (Handphone)","Keyboard;Mouse;Headset;Accessories (Mouse Pad, Cover Keyboard)","Gambar;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI;Live Chat","Ya","Web Based","6","Tidak ada"
"2024/09/19 11:48:56 PM GMT+7","11-20","Ya","Tidak","3","Tidak pernah","Tidak","","Offline","Mobile (Handphone)","Headset","Brand;Kualitas;Harga","Tidak","Gak tau om","Tidak","Web Based","6","Saran ni om"
"2024/09/20 12:05:48 AM GMT+7","11-20","Ya","Ya","6","Kadang-kadang","Ya","Kualitas;Keaslian Produk","Online","Laptop;Mobile (Handphone)","Keyboard;Mouse;Headset;Accessories (Mouse Pad, Cover Keyboard)","Brand;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI;Live Chat","Ya","Mobile Apps","6","Sejauh ini sudah cukup."
"2024/09/20 8:45:47 AM GMT+7","11-20","Ya","Ya","6","Jarang","Ya","Harga;Kualitas;Keaslian Produk","Offline","Personal Computer (PC);Laptop;Mobile (Handphone)","Keyboard;Mouse;Headset;Accessories (Mouse Pad, Cover Keyboard)","Kualitas","Tidak","Forum","Ya","Web Based","6",""
"2024/09/20 8:51:17 AM GMT+7","11-20","Ya","Ya","5","Kadang-kadang","Ya","Harga;Kualitas;Keaslian Produk","Offline","Laptop;Mobile (Handphone)","Keyboard;Mouse;Controller","Warna;Brand;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI","Ya","Mobile Apps","5","Nope"
"2024/09/20 10:15:55 AM GMT+7","11-20","Tidak","Ya","5","Jarang","Tidak","","Online","Laptop","Keyboard;Headset","Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI","Ya","Web Based","4","blom ada bg"
"2024/09/20 12:42:12 PM GMT+7","11-20","Ya","Ya","5","Kadang-kadang","Ya","Keaslian Produk","Online","Personal Computer (PC);Mobile (Handphone)","Mouse;Headset","Kualitas","Ya","Forum","Ya","Mobile Apps","5","Harus menyediakan kelengkapan produk serta keasliannya dipastikan"
"2024/09/21 8:41:16 PM GMT+7","11-20","Ya","Ya","6","Jarang","Ya","Harga;Kualitas","Online","Laptop","Mouse;Accessories (Mouse Pad, Cover Keyboard)","Brand;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI;Live Chat","Ya","Web Based","5",""
"2024/09/21 8:58:13 PM GMT+7","21-30","Ya","Ya","6","Jarang","Tidak","","Online","Laptop","Headset","Warna","Ya","Rekomendasi berbasis AI","Tidak","Mobile Apps","5","-"
"2024/09/21 9:02:36 PM GMT+7","11-20","Ya","Ya","5","Kadang-kadang","Ya","Kualitas;Keaslian Produk","Online","Laptop;Mobile (Handphone)","Mouse;Headset","Brand;Kualitas","Ya","Forum;Rekomendasi berbasis AI","Ya","Mobile Apps","5","Cukup"
"2024/09/21 9:04:35 PM GMT+7","11-20","Ya","Tidak","4","Kadang-kadang","Tidak","","Offline","Mobile (Handphone)","Mouse;Headset","Warna;Brand;Kualitas","Ya","Forum;Rekomendasi berbasis AI;Live Chat","Tidak","Mobile Apps","6","ang ang ang ang ang"
"2024/09/21 9:05:55 PM GMT+7","11-20","Ya","Ya","6","Jarang","Tidak","","Online","Laptop;Mobile (Handphone)","Keyboard;Mouse;Headset","Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI;Live Chat","Ya","Mobile Apps","6",""
"2024/09/21 9:10:27 PM GMT+7","21-30","Ya","Ya","5","Jarang","Ya","Harga;Kualitas;Keaslian Produk","Offline","Personal Computer (PC);Mobile (Handphone)","Mouse;Accessories (Mouse Pad, Cover Keyboard)","Brand;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI","Tidak","Mobile Apps","6",""
"2024/09/21 11:06:15 PM GMT+7","21-30","Ya","Ya","5","Jarang","Tidak","","Online","Mobile (Handphone)","Headset","Kualitas","Ya","Live Chat","Tidak","Mobile Apps","6",""
"2024/09/22 4:23:03 PM GMT+7","11-20","Ya","Ya","5","Jarang","Ya","Harga;Kualitas;Stock;Keaslian Produk","Offline","Laptop","Headset","Warna","Ya","Live Chat","Ya","Mobile Apps","6",""
"2024/09/22 9:01:56 PM GMT+7","11-20","Ya","Ya","5","Sering","Ya","Harga;Kualitas","Online","Personal Computer (PC);Laptop;Console (Xbox, Playstation, Nintendo Switch);Mobile (Handphone)","Keyboard;Mouse;Headset","Brand;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI","Ya","Web Based","6",""
"2024/09/22 9:03:03 PM GMT+7","11-20","Ya","Ya","6","Jarang","Tidak","","Offline","Personal Computer (PC)","Mouse","Kualitas","Ya","Forum","Ya","Web Based","6","-"
"2024/09/22 9:03:29 PM GMT+7","11-20","Ya","Ya","3","Jarang","Ya","Harga","Online","Personal Computer (PC)","Accessories (Mouse Pad, Cover Keyboard)","Kualitas","Tidak","Rekomendasi berbasis AI;Live Chat","Ya","Web Based","6",""
"2024/09/22 9:07:36 PM GMT+7","11-20","Ya","Ya","5","Kadang-kadang","Ya","Keaslian Produk","Online","Personal Computer (PC);Laptop","Keyboard;Mouse","Brand;Kualitas","Ya","Rekomendasi berbasis AI","Ya","Web Based","5",""
"2024/09/22 9:11:18 PM GMT+7","11-20","Ya","Ya","5","Kadang-kadang","Ya","Harga;Keaslian Produk;Contoh Produk","Online","Laptop;Mobile (Handphone)","Keyboard;Mouse;Headset;Controller","Brand;Gambar;Kualitas;Harga","Ya","Forum;Rekomendasi berbasis AI","Ya","Web Based","6",""
"2024/09/22 9:39:45 PM GMT+7","11-20","Ya","Ya","4","Kadang-kadang","Ya","Kualitas","Online","Personal Computer (PC);Laptop;Mobile (Handphone)","Mouse;Headset;Controller;Accessories (Mouse Pad, Cover Keyboard)","Kualitas","Ya","Rekomendasi berbasis AI","Tidak","Web Based","6",""